"","(1)","(2)"
"","Q34_1","Q34_1"
"Q6","0.174***","0.505***"
"","(0.022)","(0.113)"
"Q1","0.063***","0.058***"
"","(0.013)","(0.014)"
"Q2_Female","2.549***","3.002***"
"","(0.183)","(0.248)"
"Q2_Male","2.612***","2.986***"
"","(0.181)","(0.231)"
"Q2_Nonbinary__third_gender","2.094***","2.418***"
"","(0.203)","(0.244)"
"Q2_Prefer_not_to_say","0.000","0.000"
"","(.)","(.)"
"Q3_Asian","0.109","-0.181***"
"","(0.088)","(0.046)"
"Q3_Black_or_African_American","0.000","-0.379***"
"","(.)","(0.105)"
"Q3_Hispanic_or_Latino","0.130","-0.165***"
"","(0.087)","(0.044)"
"Q3_NativeAm_AK_Native","-0.256*","-0.539***"
"","(0.145)","(0.129)"
"Q3_Other_please_specify","0.124","-0.016"
"","(0.118)","(0.095)"
"Q3_White","0.231***","0.000"
"","(0.087)","(.)"
"Q7","0.003","-0.085**"
"","(0.022)","(0.038)"
"Q8","0.203***","0.194***"
"","(0.032)","(0.034)"
"Q9","0.105***","0.094***"
"","(0.023)","(0.025)"
"Q10","-0.065***","-0.091***"
"","(0.017)","(0.020)"
"Q13","0.383***","0.443***"
"","(0.030)","(0.038)"
"Q14","0.349***","0.367***"
"","(0.021)","(0.023)"
"Q15","0.020","0.012"
"","(0.020)","(0.021)"
"Q16","-0.003","-0.057**"
"","(0.019)","(0.027)"
"Q17","0.199***","0.176***"
"","(0.019)","(0.022)"
"Constant","-4.824***","-5.645***"
"","(0.358)","(0.511)"
"Observations","1420","1420"
"Standard errors in parentheses","",""
"* p<0.10, ** p<0.05, *** p<0.01","",""
